,단축코드,한글 종목약명,상장일
655,006220,제주은행,1972/12/28
656,089590,제주항공,2015/11/06
657,004910,조광페인트,1976/12/27
658,004700,조광피혁,1977/05/27
659,001550,조비,1976/12/28
660,000480,조선내화,1978/06/30
661,120030,조선선재,2010/02/19
662,018470,조일알미늄,1988/11/22
663,002600,조흥,1976/12/23
664,063160,종근당바이오,2001/12/11
665,185750,종근당,2013/12/06
666,001630,종근당홀딩스,1976/06/30
667,070960,용평리조트,2016/05/27
668,023450,동남합성,1996/12/24
669,002380,KCC,1973/06/25
670,044380,주연테크,2006/11/15
671,024110,기업은행,2003/12/24
672,013890,지누스,2019/10/30
673,001250,GS글로벌,1976/06/26
674,007070,GS리테일,2011/12/23
675,013870,지엠비코리아,2012/11/20
676,071320,지역난방공사,2010/01/29
677,035000,지투알,1999/08/11
678,088790,진도,2006/03/28
679,003780,진양산업,1973/06/26
680,010640,진양폴리,1989/09/30
681,100250,진양홀딩스,2008/02/15
682,051630,진양화학,2001/01/29
683,272450,진에어,2017/12/08
684,011000,진원생명과학,1987/11/16
685,002785,진흥기업우B,2003/06/16
686,002787,진흥기업2우B,2006/12/05
687,002780,진흥기업,1977/06/25
688,009310,참엔지니어링,1987/11/12
689,000650,천일고속,1977/06/23
690,012600,청호ICT,1990/07/10
691,033250,체시스,1999/08/11
692,118000,초록뱀헬스케어,2009/12/30
693,323410,카카오뱅크,2021/08/06
694,035720,카카오,2017/07/10
695,377300,카카오페이,2021/11/03
696,006380,카프로,1974/05/28
697,109070,컨버즈,2009/03/17
698,001620,케이비아이동국실업,1990/09/15
699,009440,KC그린홀딩스,1994/11/05
700,029460,케이씨,1997/11/25
701,344820,KCC글라스,2020/01/21
702,119650,KC코트렐,2010/01/29
703,281820,케이씨텍,2017/12/05
704,044450,KSS해운,2007/10/26
705,092220,KEC,2006/10/16
706,381970,케이카,2021/10/13
707,145270,케이탑리츠,2012/01/31
708,030200,KT,1998/12/23
709,053210,스카이라이프,2011/06/03
710,058850,KTcs,2010/09/16
711,058860,KTis,2010/12/17
712,033780,KT&G,1999/10/08
713,417310,코람코더원리츠,2022/03/28
714,357120,코람코에너지리츠,2020/08/31
715,007815,코리아써우,1989/07/04
716,00781K,코리아써키트2우B,2013/06/17
717,007810,코리아써키트,1985/09/09
718,003690,코리안리,1969/12/22
719,192820,코스맥스,2014/04/07
720,044820,코스맥스비티아이,2006/11/13
721,005070,코스모신소재,1987/09/28
722,005420,코스모화학,1987/07/23
723,071950,코아스,2005/08/04
724,002025,코오롱우,1989/08/22
725,003075,코오롱글로벌우,1989/12/11
726,003070,코오롱글로벌,1978/09/15
727,45014K,코오롱모빌리티그룹우,2023/01/31
728,450140,코오롱모빌리티그룹,2023/01/31
729,002020,코오롱,1975/06/23
730,120115,코오롱인더우,2010/02/01
731,120110,코오롱인더,2010/02/01
732,138490,코오롱플라스틱,2011/06/15
733,021240,코웨이,2001/08/07
734,036420,콘텐트리중앙,2019/10/18
735,031820,콤텍시스템,1997/02/12
736,192400,쿠쿠홀딩스,2014/08/06
737,284740,쿠쿠홈시스,2018/01/11
738,015590,큐로,1989/05/27
739,26490K,크라운제과우,2017/04/11
740,264900,크라운제과,2017/04/11
741,005745,크라운해태홀딩스우,1994/11/22
742,005740,크라운해태홀딩스,1976/06/30
743,259960,크래프톤,2021/08/10
744,020120,키다리스튜디오,1996/07/03
745,039490,키움증권,2009/08/03
746,014580,태경비케이,1991/03/07
747,015890,태경산업,1996/01/30
748,006890,태경케미컬,2003/01/28
749,003240,태광산업,1975/12/27
750,011280,태림포장,1988/12/20
751,004105,태양금속우,1990/01/08
752,004100,태양금속,1976/05/25
753,009410,태영건설,1989/11/13
